Publication_year,NPmaterials,NPshape,Coated,Charge,Pegylation,Uptakepathway,Toxicity,Immuneresponse,Otherbiologicaleffect,PCmethods,Incubationcondition,PCprotein
2022,Agglomerates,Others,Coated,Positive charge,Pegylated,Phagocytosis,Unknown,Macrophages,Biodistribution,Fluorescence,Plasma,Albumin
2024,Lipoplexes,Others,Coated,Negative charge,Pegylated,Phagocytosis,Cytotoxicity,Complement,Biodistribution,Fluorescence,Plasma,Others
2014,Lipoplexes,Spherical,Coated,Positive charge,Pegylated,Phagocytosis,Cytotoxicity,Immune response,Biodistribution,Spectrum,Plasma,Lipoprotein
2017,Polystyrene,Others,Coated,Positive charge,Pegylated,Unknown,Cytotoxicity,Complement,Targeting,Spectrum,Plasma,Albumin
2018,Magnetic,Nanotubes,Coated,Negative charge,Pegylated,Phagocytosis,Cytotoxicity,Macrophages,Biodistribution,Microscope,Medium,Albumin
2020,Others,Nanostars,Coated,Neutral,Pegylated,Unknown,Cytotoxicity,Others,Anticancer,Spectrum,Plasma,Albumin
2023,Micelles,Others,Coated,Negative charge,Pegylated,Phagocytosis,Cytotoxicity,Immune response,Therapy,Microscope,Plasma,Albumin
2024,Micelles,Spherical,Coated,Neutral,Pegylated,Unknown,Cytotoxicity,Complement,Stability,Spectrum,Serum,Albumin
2016,Micelles,Spherical,Coated,Negative charge,Pegylated,Macropinocytosis,Cytotoxicity,Macrophages,Release,Microscope,Medium,Albumin
2019,Lipoplexes,Spherical,Coated,Negative charge,Pegylated,Phagocytosis,Cytotoxicity,Macrophages,Stability,Spectrum,Serum,Albumin
2019,Gold,Spherical,Coated,Negative charge,Pegylated,Unknown,Cytotoxicity,Macrophages,Biodistribution,Proteomics,Serum,Albumin
2019,Lipoplexes,Spherical,Coated,Negative charge,Pegylated,Phagocytosis,Cytotoxicity,Macrophages,Biodistribution,Fluorescence,Plasma,Albumin
2021,Gold,Others,Coated,Positive charge,Pegylated,Endocytosis,Cytotoxicity,Macrophages,Biodistribution,Microscope,Serum,Transferrin
2021,Lipoplexes,Others,Coated,Positive charge,Pegylated,Unknown,Unknown,Macrophages,Biodistribution,Proteomics,Plasma,Albumin
2021,Micelles,Others,Coated,Negative charge,Pegylated,Unknown,Cytotoxicity,Macrophages,Biodistribution,Microscope,Serum,Others
2021,Agglomerates,Nanorods,Coated,Negative charge,Pegylated,Phagocytosis,Hemotoxicity,Complement,Biodistribution,Microscope,Serum,Albumin
2022,Others,Others,Coated,Unknown,Pegylated,Phagocytosis,Cytotoxicity,Macrophages,Anticancer,Fluorescence,Plasma,Albumin
2024,Gold,Nanorods,Coated,Negative charge,Pegylated,Phagocytosis,Cytotoxicity,Macrophages,Stability,Sdspage,Serum,Albumin
2017,Micelles,Amorphous,Coated,Negative charge,Pegylated,Unknown,Cytotoxicity,Others,Biodistribution,Others,Plasma,Others
2017,Micelles,Amorphous,Coated,Negative charge,Pegylated,Unknown,Cytotoxicity,Dendritic cells,Stability,Spectrum,Serum,Albumin
2018,Surfactants,Others,Coated,Positive charge,Pegylated,Unknown,Unknown,Others,Stability,Fluorescence,Plasma,Lipoprotein
2020,Others,Others,Coated,Positive charge,Pegylated,Phagocytosis,Cytotoxicity,Immune response,Anticancer,Microscope,Plasma,Lipoprotein
2020,Silicon,Others,Coated,Positive charge,Pegylated,Phagocytosis,Hemotoxicity,Immune response,Stability,Spectrum,Serum,Albumin
2021,Lipoplexes,Nanotubes,Coated,Positive charge,Pegylated,Endocytosis,Cytotoxicity,Inflammation,Release,Spectrum,Plasma,Albumin
2021,Others,Others,Coated,Negative charge,Pegylated,Phagocytosis,Cytotoxicity,Macrophages,Anticancer,Fluorescence,Medium,Lipoprotein
2022,Silicon,Others,Coated,Negative charge,Pegylated,Endocytosis,Cytotoxicity,Macrophages,Release,Microscope,Plasma,Others
2024,Silicon,Spherical,Coated,Negative charge,Pegylated,Phagocytosis,Cytotoxicity,Inflammation,Anticancer,Fluorescence,Plasma,Albumin
2010,Micelles,Spherical,Coated,Positive charge,Pegylated,Unknown,Cytotoxicity,Others,Biodistribution,Spectrum,Serum,Albumin
2014,Others,Spherical,Uncoated,Positive charge,Pegylated,Endocytosis,Cytotoxicity,Monocytes,Biodistribution,Icpms,Medium,Others
2016,Silver,Spherical,Coated,Negative charge,Pegylated,Unknown,Cytotoxicity,Complement,Biodistribution,Proteomics,Serum,Lipoprotein
2016,Silver,Others,Coated,Negative charge,Pegylated,Unknown,Cytotoxicity,Others,Antibacterial,Fluorescence,Serum,Albumin
2016,Micelles,Spherical,Coated,Positive charge,Pegylated,Endocytosis,Cytotoxicity,Macrophages,Biodistribution,Fluorescence,Serum,Albumin
2016,Lipoplexes,Others,Coated,Positive charge,Pegylated,Unknown,Cytotoxicity,Macrophages,Anticancer,Fluorescence,Serum,Albumin
2017,Colloids,Others,Coated,Negative charge,Pegylated,Endocytosis,Cytotoxicity,Others,Biodistribution,Sdspage,Serum,Albumin
2017,Lipoplexes,Nanotubes,Coated,Negative charge,Pegylated,Unknown,Unknown,Others,Biodistribution,Fluorescence,Serum,Albumin
2019,Lipoplexes,Others,Unknown,Positive charge,Pegylated,Phagocytosis,Cytotoxicity,Others,Biodistribution,Proteomics,Plasma,Albumin
2020,Surfactants,Amorphous,Coated,Negative charge,Pegylated,Phagocytosis,Cytotoxicity,Macrophages,Biodistribution,Spectrum,Plasma,Fibrinogen
2020,Others,Nanotubes,Coated,Negative charge,Pegylated,Endocytosis,Cytotoxicity,Macrophages,Targeting,Proteomics,Serum,Albumin
2023,Micelles,Others,Coated,Positive charge,Pegylated,Unknown,Cytotoxicity,Dendritic cells,Anticancer,Fluorescence,Serum,Others
2024,Gold,Others,Coated,Negative charge,Pegylated,Endocytosis,Cytotoxicity,Complement,Targeting,Proteomics,Serum,Albumin
2013,Carbon,Nanotubes,Coated,Positive charge,Pegylated,Phagocytosis,Cytotoxicity,Complement,Biodistribution,Proteomics,Plasma,Albumin
2014,Carbon,Nanotubes,Coated,Positive charge,Pegylated,Unknown,Cytotoxicity,Inflammation,Biodistribution,Microscope,Bovine,Albumin
2016,Micelles,Others,Coated,Negative charge,Pegylated,Phagocytosis,Cytotoxicity,Macrophages,Stability,Microscope,Medium,Others
2016,Magnetic,Spherical,Coated,Negative charge,Pegylated,Endocytosis,Cytotoxicity,Macrophages,Biodistribution,Microscope,Medium,Albumin
2017,Colloids,Others,Coated,Negative charge,Pegylated,Unknown,Cytotoxicity,Complement,Stability,Spectrum,Serum,Albumin
2017,Gold,Nanotubes,Coated,Positive charge,Pegylated,Phagocytosis,Cytotoxicity,Cytokines,Biodistribution,Spectrum,Medium,Albumin
2017,Micelles,Others,Coated,Positive charge,Pegylated,Unknown,Cytotoxicity,Cytokines,Release,Microscope,Medium,Others
2018,Gold,Spherical,Coated,Negative charge,Pegylated,Unknown,Cytotoxicity,Macrophages,Biodistribution,Sdspage,Serum,Fibrinogen
2018,Others,Others,Coated,Negative charge,Pegylated,Phagocytosis,Cytotoxicity,Dendritic cells,Biodistribution,Fluorescence,Serum,Albumin
2019,Micelles,Nanorods,Coated,Negative charge,Pegylated,Phagocytosis,Cytotoxicity,Immune response,Stability,Microscope,Plasma,Others
2021,Others,Others,Coated,Negative charge,Pegylated,Unknown,Unknown,Complement,Biodistribution,Proteomics,Plasma,Lipoprotein
2021,Zwitterionic,Spherical,Coated,Positive charge,Pegylated,Phagocytosis,Cytotoxicity,Dendritic cells,Anticancer,Fluorescence,Medium,Others
2022,Lipoplexes,Spherical,Coated,Negative charge,Pegylated,Endocytosis,Cytotoxicity,Immune response,Biodistribution,Microscope,Serum,Transferrin
2023,Peptide,Others,Coated,Positive charge,Pegylated,Phagocytosis,Cytotoxicity,Complement,Biodistribution,Proteomics,Serum,Lipoprotein
2012,Micelles,Others,Coated,Positive charge,Pegylated,Endocytosis,Cytotoxicity,Inflammation,Biodistribution,Spectrum,Others,Others
2014,Silicon,Amorphous,Coated,Positive charge,Pegylated,Unknown,Cytotoxicity,Others,Biodistribution,Microscope,Serum,Others
2015,Others,Others,Coated,Positive charge,Pegylated,Unknown,Unknown,Others,Targeting,Spectrum,Plasma,Others
2015,Silicon,Others,Coated,Negative charge,Pegylated,Endocytosis,Cytotoxicity,Macrophages,Release,Fluorescence,Serum,Albumin
2016,Gold,Spherical,Coated,Positive charge,Pegylated,Unknown,Unknown,Complement,Targeting,Spectrum,Serum,Fibrinogen
2018,Micelles,Spherical,Coated,Negative charge,Pegylated,Endocytosis,Cytotoxicity,Others,Biodistribution,Spectrum,Serum,Albumin
2018,Micelles,Others,Coated,Positive charge,Pegylated,Unknown,Cytotoxicity,Immune response,Biodistribution,Fluorescence,Plasma,Others
2018,Micelles,Others,Coated,Positive charge,Pegylated,Unknown,Cytotoxicity,Dendritic cells,Release,Fluorescence,Serum,Albumin
2019,Surfactants,Nanosheets,Coated,Neutral,Pegylated,Phagocytosis,Cytotoxicity,Macrophages,Biodistribution,Microscope,Plasma,Lipoprotein
2019,Others,Others,Coated,Negative charge,Pegylated,Phagocytosis,Cytotoxicity,Immune response,Biodistribution,Spectrum,Plasma,Fibrinogen
2019,Gold,Spherical,Coated,Negative charge,Pegylated,Phagocytosis,Unknown,Immune response,Targeting,Fluorescence,Serum,Albumin
2020,Others,Spherical,Coated,Unknown,Pegylated,Phagocytosis,Cytotoxicity,Immune response,Anticancer,Microscope,Plasma,Albumin
2020,Magnetic,Spherical,Coated,Positive charge,Pegylated,Phagocytosis,Cytotoxicity,Macrophages,Biodistribution,Fluorescence,Serum,Others
2021,Lipoplexes,Spherical,Coated,Positive charge,Pegylated,Unknown,Unknown,Complement,Biodistribution,Proteomics,Plasma,Others
2021,Others,Nanorods,Coated,Negative charge,Pegylated,Phagocytosis,Cytotoxicity,Complement,Targeting,Spectrum,Serum,Albumin
2021,Micelles,Others,Coated,Negative charge,Pegylated,Phagocytosis,Cytotoxicity,Immune response,Biodistribution,Microscope,Serum,Albumin
2021,Others,Nanotubes,Coated,Positive charge,Pegylated,Phagocytosis,Cytotoxicity,Macrophages,Targeting,Microscope,Serum,Others
2021,Others,Nanorods,Coated,Positive charge,Pegylated,Endocytosis,Cytotoxicity,Macrophages,Biodistribution,Microscope,Serum,Lipoprotein
2021,Micelles,Amorphous,Coated,Positive charge,Pegylated,Unknown,Cytotoxicity,Macrophages,Biodistribution,Microscope,Serum,Lipoprotein
